id,slug,url,titulo,enunciado,temas,dificuldade,tema_principal,has_image
2284,sender-with-largest-word-count,https://leetcode.com/problems/sender-with-largest-word-count/,Sender With Largest Word Count,"You have a chat log of  n  messages. You are given two string arrays  messages  and  senders  where  messages[i]  is a  message  sent by  senders[i] . A  message  is list of  words  that are separated by a single space with no leading or trailing spaces. The  word count  of a sender is the total number of  words  sent by the sender. Note that a sender may send more than one message. Return  the sender with the  largest  word count . If there is more than one sender with the largest word count, return  the one with the  lexicographically largest  name . Note: Uppercase letters come before lowercase letters in lexicographical order. ""Alice""  and  ""alice""  are distinct.   Example 1: Input:  messages = [""Hello userTwooo"",""Hi userThree"",""Wonderful day Alice"",""Nice day userThree""], senders = [""Alice"",""userTwo"",""userThree"",""Alice""] Output:  ""Alice"" Explanation:  Alice sends a total of 2 + 3 = 5 words. userTwo sends a total of 2 words. userThree sends a total of 3 words. Since Alice has the largest word count, we return ""Alice"". Example 2: Input:  messages = [""How is leetcode for everyone"",""Leetcode is useful for practice""], senders = [""Bob"",""Charlie""] Output:  ""Charlie"" Explanation:  Bob sends a total of 5 words. Charlie sends a total of 5 words. Since there is a tie for the largest word count, we return the sender with the lexicographically larger name, Charlie.   Constraints: n == messages.length == senders.length 1 <= n <= 10 4 1 <= messages[i].length <= 100 1 <= senders[i].length <= 10 messages[i]  consists of uppercase and lowercase English letters and  ' ' . All the words in  messages[i]  are separated by  a single space . messages[i]  does not have leading or trailing spaces. senders[i]  consists of uppercase and lowercase English letters only.","['Array', 'Hash Table', 'String', 'Counting']",Média,Array,False
2289,steps-to-make-array-non-decreasing,https://leetcode.com/problems/steps-to-make-array-non-decreasing/,Steps to Make Array Non-decreasing,"You are given a  0-indexed  integer array  nums . In one step,  remove  all elements  nums[i]  where  nums[i - 1] > nums[i]  for all  0 < i < nums.length . Return  the number of steps performed until  nums  becomes a  non-decreasing  array .   Example 1: Input:  nums = [5,3,4,4,7,3,6,11,8,5,11] Output:  3 Explanation:  The following are the steps performed: - Step 1: [5, 3 ,4,4,7, 3 ,6,11, 8 , 5 ,11] becomes [5,4,4,7,6,11,11] - Step 2: [5, 4 ,4,7, 6 ,11,11] becomes [5,4,7,11,11] - Step 3: [5, 4 ,7,11,11] becomes [5,7,11,11] [5,7,11,11] is a non-decreasing array. Therefore, we return 3. Example 2: Input:  nums = [4,5,7,7,13] Output:  0 Explanation:  nums is already a non-decreasing array. Therefore, we return 0.   Constraints: 1 <= nums.length <= 10 5 1 <= nums[i] <= 10 9","['Array', 'Linked List', 'Stack', 'Monotonic Stack']",Média,Array,False
2419,longest-subarray-with-maximum-bitwise-and,https://leetcode.com/problems/longest-subarray-with-maximum-bitwise-and/,Longest Subarray With Maximum Bitwise AND,"You are given an integer array  nums  of size  n . Consider a  non-empty  subarray from  nums  that has the  maximum  possible  bitwise AND . In other words, let  k  be the maximum value of the bitwise AND of  any  subarray of  nums . Then, only subarrays with a bitwise AND equal to  k  should be considered. Return  the length of the  longest  such subarray . The bitwise AND of an array is the bitwise AND of all the numbers in it. A  subarray  is a contiguous sequence of elements within an array.   Example 1: Input:  nums = [1,2,3,3,2,2] Output:  2 Explanation: The maximum possible bitwise AND of a subarray is 3. The longest subarray with that value is [3,3], so we return 2. Example 2: Input:  nums = [1,2,3,4] Output:  1 Explanation: The maximum possible bitwise AND of a subarray is 4. The longest subarray with that value is [4], so we return 1.   Constraints: 1 <= nums.length <= 10 5 1 <= nums[i] <= 10 6","['Array', 'Bit Manipulation', 'Brainteaser']",Média,Array,False
2537,count-the-number-of-good-subarrays,https://leetcode.com/problems/count-the-number-of-good-subarrays/,Count the Number of Good Subarrays,"Given an integer array  nums  and an integer  k , return  the number of  good  subarrays of   nums . A subarray  arr  is  good  if there are  at least  k  pairs of indices  (i, j)  such that  i < j  and  arr[i] == arr[j] . A  subarray  is a contiguous  non-empty  sequence of elements within an array.   Example 1: Input:  nums = [1,1,1,1,1], k = 10 Output:  1 Explanation:  The only good subarray is the array nums itself. Example 2: Input:  nums = [3,1,4,3,2,2,4], k = 2 Output:  4 Explanation:  There are 4 different good subarrays: - [3,1,4,3,2,2] that has 2 pairs. - [3,1,4,3,2,2,4] that has 3 pairs. - [1,4,3,2,2,4] that has 2 pairs. - [4,3,2,2,4] that has 2 pairs.   Constraints: 1 <= nums.length <= 10 5 1 <= nums[i], k <= 10 9","['Array', 'Hash Table', 'Sliding Window']",Média,Array,False
2542,maximum-subsequence-score,https://leetcode.com/problems/maximum-subsequence-score/,Maximum Subsequence Score,"You are given two  0-indexed  integer arrays  nums1  and  nums2  of equal length  n  and a positive integer  k . You must choose a  subsequence  of indices from  nums1  of length  k . For chosen indices  i 0 ,  i 1 , ...,  i k - 1 , your  score  is defined as: The sum of the selected elements from  nums1  multiplied with the  minimum  of the selected elements from  nums2 . It can defined simply as:  (nums1[i 0 ] + nums1[i 1 ] +...+ nums1[i k - 1 ]) * min(nums2[i 0 ] , nums2[i 1 ], ... ,nums2[i k - 1 ]) . Return  the  maximum  possible score. A  subsequence  of indices of an array is a set that can be derived from the set  {0, 1, ..., n-1}  by deleting some or no elements.   Example 1: Input:  nums1 = [1,3,3,2], nums2 = [2,1,3,4], k = 3 Output:  12 Explanation:   The four possible subsequence scores are: - We choose the indices 0, 1, and 2 with score = (1+3+3) * min(2,1,3) = 7. - We choose the indices 0, 1, and 3 with score = (1+3+2) * min(2,1,4) = 6.  - We choose the indices 0, 2, and 3 with score = (1+3+2) * min(2,3,4) = 12.  - We choose the indices 1, 2, and 3 with score = (3+3+2) * min(1,3,4) = 8. Therefore, we return the max score, which is 12. Example 2: Input:  nums1 = [4,2,3,1,1], nums2 = [7,5,10,9,6], k = 1 Output:  30 Explanation:   Choosing index 2 is optimal: nums1[2] * nums2[2] = 3 * 10 = 30 is the maximum possible score.   Constraints: n == nums1.length == nums2.length 1 <= n <= 10 5 0 <= nums1[i], nums2[j] <= 10 5 1 <= k <= n","['Array', 'Greedy', 'Sorting', 'Heap (Priority Queue)']",Média,Array,False
2575,find-the-divisibility-array-of-a-string,https://leetcode.com/problems/find-the-divisibility-array-of-a-string/,Find the Divisibility Array of a String,"You are given a  0-indexed  string  word  of length  n  consisting of digits, and a positive integer  m . The  divisibility array   div  of  word  is an integer array of length  n  such that: div[i] = 1  if the  numeric value  of  word[0,...,i]  is divisible by  m , or div[i] = 0  otherwise. Return  the divisibility array of   word .   Example 1: Input:  word = ""998244353"", m = 3 Output:  [1,1,0,0,0,1,1,0,0] Explanation:  There are only 4 prefixes that are divisible by 3: ""9"", ""99"", ""998244"", and ""9982443"". Example 2: Input:  word = ""1010"", m = 10 Output:  [0,1,0,1] Explanation:  There are only 2 prefixes that are divisible by 10: ""10"", and ""1010"".   Constraints: 1 <= n <= 10 5 word.length == n word  consists of digits from  0  to  9 1 <= m <= 10 9","['Array', 'Math', 'String']",Média,Array,False
2576,find-the-maximum-number-of-marked-indices,https://leetcode.com/problems/find-the-maximum-number-of-marked-indices/,Find the Maximum Number of Marked Indices,"You are given a  0-indexed  integer array  nums . Initially, all of the indices are unmarked. You are allowed to make this operation any number of times: Pick two  different unmarked  indices  i  and  j  such that  2 * nums[i] <= nums[j] , then mark  i  and  j . Return  the maximum possible number of marked indices in  nums  using the above operation any number of times .   Example 1: Input:  nums = [3,5,2,4] Output:  2 Explanation:  In the first operation: pick i = 2 and j = 1, the operation is allowed because 2 * nums[2] <= nums[1]. Then mark index 2 and 1. It can be shown that there's no other valid operation so the answer is 2. Example 2: Input:  nums = [9,2,5,4] Output:  4 Explanation:  In the first operation: pick i = 3 and j = 0, the operation is allowed because 2 * nums[3] <= nums[0]. Then mark index 3 and 0. In the second operation: pick i = 1 and j = 2, the operation is allowed because 2 * nums[1] <= nums[2]. Then mark index 1 and 2. Since there is no other operation, the answer is 4. Example 3: Input:  nums = [7,6,8] Output:  0 Explanation:  There is no valid operation to do, so the answer is 0.   Constraints: 1 <= nums.length <= 10 5 1 <= nums[i] <= 10 9","['Array', 'Two Pointers', 'Binary Search', 'Greedy', 'Sorting']",Média,Array,False
77,combinations,https://leetcode.com/problems/combinations/,Combinations,"Given two integers  n  and  k , return  all possible combinations of   k   numbers chosen from the range   [1, n] . You may return the answer in  any order .   Example 1: Input:  n = 4, k = 2 Output:  [[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]] Explanation:  There are 4 choose 2 = 6 total combinations. Note that combinations are unordered, i.e., [1,2] and [2,1] are considered to be the same combination. Example 2: Input:  n = 1, k = 1 Output:  [[1]] Explanation:  There is 1 choose 1 = 1 total combination.   Constraints: 1 <= n <= 20 1 <= k <= n",['Backtracking'],Média,Backtracking,False
967,numbers-with-same-consecutive-differences,https://leetcode.com/problems/numbers-with-same-consecutive-differences/,Numbers With Same Consecutive Differences,"Given two integers n and k, return  an array of all the integers of length  n  where the difference between every two consecutive digits is  k . You may return the answer in  any order . Note that the integers should not have leading zeros. Integers as  02  and  043  are not allowed.   Example 1: Input:  n = 3, k = 7 Output:  [181,292,707,818,929] Explanation:  Note that 070 is not a valid number, because it has leading zeroes. Example 2: Input:  n = 2, k = 1 Output:  [10,12,21,23,32,34,43,45,54,56,65,67,76,78,87,89,98]   Constraints: 2 <= n <= 9 0 <= k <= 9","['Backtracking', 'Breadth-First Search']",Média,Backtracking,False
352,data-stream-as-disjoint-intervals,https://leetcode.com/problems/data-stream-as-disjoint-intervals/,Data Stream as Disjoint Intervals,"Given a data stream input of non-negative integers  a 1 , a 2 , ..., a n , summarize the numbers seen so far as a list of disjoint intervals. Implement the  SummaryRanges  class: SummaryRanges()  Initializes the object with an empty stream. void addNum(int value)  Adds the integer  value  to the stream. int[][] getIntervals()  Returns a summary of the integers in the stream currently as a list of disjoint intervals  [start i , end i ] . The answer should be sorted by  start i .   Example 1: Input [""SummaryRanges"", ""addNum"", ""getIntervals"", ""addNum"", ""getIntervals"", ""addNum"", ""getIntervals"", ""addNum"", ""getIntervals"", ""addNum"", ""getIntervals""] [[], [1], [], [3], [], [7], [], [2], [], [6], []] Output [null, null, [[1, 1]], null, [[1, 1], [3, 3]], null, [[1, 1], [3, 3], [7, 7]], null, [[1, 3], [7, 7]], null, [[1, 3], [6, 7]]] Explanation SummaryRanges summaryRanges = new SummaryRanges(); summaryRanges.addNum(1);      // arr = [1] summaryRanges.getIntervals(); // return [[1, 1]] summaryRanges.addNum(3);      // arr = [1, 3] summaryRanges.getIntervals(); // return [[1, 1], [3, 3]] summaryRanges.addNum(7);      // arr = [1, 3, 7] summaryRanges.getIntervals(); // return [[1, 1], [3, 3], [7, 7]] summaryRanges.addNum(2);      // arr = [1, 2, 3, 7] summaryRanges.getIntervals(); // return [[1, 3], [7, 7]] summaryRanges.addNum(6);      // arr = [1, 2, 3, 6, 7] summaryRanges.getIntervals(); // return [[1, 3], [6, 7]]   Constraints: 0 <= value <= 10 4 At most  3 * 10 4  calls will be made to  addNum  and  getIntervals . At most  10 2  calls will be made to  getIntervals .   Follow up:  What if there are lots of merges and the number of disjoint intervals is small compared to the size of the data stream?","['Binary Search', 'Design', 'Ordered Set']",Difícil,Binary Search,False
732,my-calendar-iii,https://leetcode.com/problems/my-calendar-iii/,My Calendar III,"A  k -booking happens when  k  events have some non-empty intersection (i.e., there is some time that is common to all  k  events.) You are given some events  [startTime, endTime) , after each given event, return an integer  k  representing the maximum  k -booking between all the previous events. Implement the  MyCalendarThree  class: MyCalendarThree()  Initializes the object. int book(int startTime, int endTime)  Returns an integer  k  representing the largest integer such that there exists a  k -booking in the calendar.   Example 1: Input [""MyCalendarThree"", ""book"", ""book"", ""book"", ""book"", ""book"", ""book""] [[], [10, 20], [50, 60], [10, 40], [5, 15], [5, 10], [25, 55]] Output [null, 1, 1, 2, 3, 3, 3] Explanation MyCalendarThree myCalendarThree = new MyCalendarThree(); myCalendarThree.book(10, 20); // return 1 myCalendarThree.book(50, 60); // return 1 myCalendarThree.book(10, 40); // return 2 myCalendarThree.book(5, 15); // return 3 myCalendarThree.book(5, 10); // return 3 myCalendarThree.book(25, 55); // return 3   Constraints: 0 <= startTime < endTime <= 10 9 At most  400  calls will be made to  book .","['Binary Search', 'Design', 'Segment Tree', 'Prefix Sum', 'Ordered Set']",Difícil,Binary Search,False
2286,booking-concert-tickets-in-groups,https://leetcode.com/problems/booking-concert-tickets-in-groups/,Booking Concert Tickets in Groups,"A concert hall has  n  rows numbered from  0  to  n - 1 , each with  m  seats, numbered from  0  to  m - 1 . You need to design a ticketing system that can allocate seats in the following cases: If a group of  k  spectators can sit  together  in a row. If  every  member of a group of  k  spectators can get a seat. They may or  may not  sit together. Note that the spectators are very picky. Hence: They will book seats only if each member of their group can get a seat with row number  less than or equal  to  maxRow .  maxRow  can  vary  from group to group. In case there are multiple rows to choose from, the row with the  smallest  number is chosen. If there are multiple seats to choose in the same row, the seat with the  smallest  number is chosen. Implement the  BookMyShow  class: BookMyShow(int n, int m)  Initializes the object with  n  as number of rows and  m  as number of seats per row. int[] gather(int k, int maxRow)  Returns an array of length  2  denoting the row and seat number (respectively) of the  first seat  being allocated to the  k  members of the group, who must sit  together . In other words, it returns the smallest possible  r  and  c  such that all  [c, c + k - 1]  seats are valid and empty in row  r , and  r <= maxRow . Returns  []  in case it is  not possible  to allocate seats to the group. boolean scatter(int k, int maxRow)  Returns  true  if all  k  members of the group can be allocated seats in rows  0  to  maxRow , who may or  may not  sit together. If the seats can be allocated, it allocates  k  seats to the group with the  smallest  row numbers, and the smallest possible seat numbers in each row. Otherwise, returns  false .   Example 1: Input [""BookMyShow"", ""gather"", ""gather"", ""scatter"", ""scatter""] [[2, 5], [4, 0], [2, 0], [5, 1], [5, 1]] Output [null, [0, 0], [], true, false] Explanation BookMyShow bms = new BookMyShow(2, 5); // There are 2 rows with 5 seats each  bms.gather(4, 0); // return [0, 0]                   // The group books seats [0, 3] of row 0.  bms.gather(2, 0); // return []                   // There is only 1 seat left in row 0,                   // so it is not possible to book 2 consecutive seats.  bms.scatter(5, 1); // return True                    // The group books seat 4 of row 0 and seats [0, 3] of row 1.  bms.scatter(5, 1); // return False                    // There is only one seat left in the hall.   Constraints: 1 <= n <= 5 * 10 4 1 <= m, k <= 10 9 0 <= maxRow <= n - 1 At most  5 * 10 4  calls  in total  will be made to  gather  and  scatter .","['Binary Search', 'Design', 'Binary Indexed Tree', 'Segment Tree']",Difícil,Binary Search,False
278,first-bad-version,https://leetcode.com/problems/first-bad-version/,First Bad Version,"You are a product manager and currently leading a team to develop a new product. Unfortunately, the latest version of your product fails the quality check. Since each version is developed based on the previous version, all the versions after a bad version are also bad. Suppose you have  n  versions  [1, 2, ..., n]  and you want to find out the first bad one, which causes all the following ones to be bad. You are given an API  bool isBadVersion(version)  which returns whether  version  is bad. Implement a function to find the first bad version. You should minimize the number of calls to the API.   Example 1: Input:  n = 5, bad = 4 Output:  4 Explanation: call isBadVersion(3) -> false call isBadVersion(5) -> true call isBadVersion(4) -> true Then 4 is the first bad version. Example 2: Input:  n = 1, bad = 1 Output:  1   Constraints: 1 <= bad <= n <= 2 31  - 1","['Binary Search', 'Interactive']",Fácil,Binary Search,False
374,guess-number-higher-or-lower,https://leetcode.com/problems/guess-number-higher-or-lower/,Guess Number Higher or Lower,"We are playing the Guess Game. The game is as follows: I pick a number from  1  to  n . You have to guess which number I picked. Every time you guess wrong, I will tell you whether the number I picked is higher or lower than your guess. You call a pre-defined API  int guess(int num) , which returns three possible results: -1 : Your guess is higher than the number I picked (i.e.  num > pick ). 1 : Your guess is lower than the number I picked (i.e.  num < pick ). 0 : your guess is equal to the number I picked (i.e.  num == pick ). Return  the number that I picked .   Example 1: Input:  n = 10, pick = 6 Output:  6 Example 2: Input:  n = 1, pick = 1 Output:  1 Example 3: Input:  n = 2, pick = 1 Output:  1   Constraints: 1 <= n <= 2 31  - 1 1 <= pick <= n","['Binary Search', 'Interactive']",Fácil,Binary Search,False
2424,longest-uploaded-prefix,https://leetcode.com/problems/longest-uploaded-prefix/,Longest Uploaded Prefix,"You are given a stream of  n  videos, each represented by a  distinct  number from  1  to  n  that you need to ""upload"" to a server. You need to implement a data structure that calculates the length of the  longest uploaded prefix  at various points in the upload process. We consider  i  to be an uploaded prefix if all videos in the range  1  to  i  ( inclusive ) have been uploaded to the server. The longest uploaded prefix is the  maximum  value of  i  that satisfies this definition. Implement the  LUPrefix  class: LUPrefix(int n)  Initializes the object for a stream of  n  videos. void upload(int video)  Uploads  video  to the server. int longest()  Returns the length of the  longest uploaded prefix  defined above.   Example 1: Input [""LUPrefix"", ""upload"", ""longest"", ""upload"", ""longest"", ""upload"", ""longest""] [[4], [3], [], [1], [], [2], []] Output [null, null, 0, null, 1, null, 3] Explanation LUPrefix server = new LUPrefix(4);   // Initialize a stream of 4 videos. server.upload(3);                    // Upload video 3. server.longest();                    // Since video 1 has not been uploaded yet, there is no prefix.                                      // So, we return 0. server.upload(1);                    // Upload video 1. server.longest();                    // The prefix [1] is the longest uploaded prefix, so we return 1. server.upload(2);                    // Upload video 2. server.longest();                    // The prefix [1,2,3] is the longest uploaded prefix, so we return 3.   Constraints: 1 <= n <= 10 5 1 <= video <= n All values of  video  are  distinct . At most  2 * 10 5  calls  in total  will be made to  upload  and  longest . At least one call will be made to  longest .","['Binary Search', 'Union Find', 'Design', 'Binary Indexed Tree', 'Segment Tree', 'Heap (Priority Queue)', 'Ordered Set']",Média,Binary Search,False
3007,maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,https://leetcode.com/problems/maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k/,Maximum Number That Sum of the Prices Is Less Than or Equal to K,"You are given an integer  k  and an integer  x . The price of a number  num  is calculated by the count of  set bits  at positions  x ,  2x ,  3x , etc., in its binary representation, starting from the least significant bit. The following table contains examples of how price is calculated. x num Binary Representation Price 1 13 0 0 0 0 0 1 1 0 1 3 2 13 0 0 0 0 0 1 1 0 1 1 2 233 0 1 1 1 0 1 0 0 1 3 3 13 0 00 0 01 1 01 1 3 362 1 01 1 01 0 10 2 The  accumulated price  of  num  is the  total  price of numbers from  1  to  num .  num  is considered  cheap  if its accumulated price is less than or equal to  k . Return the  greatest  cheap number.   Example 1: Input:   k = 9, x = 1 Output:   6 Explanation: As shown in the table below,  6  is the greatest cheap number. x num Binary Representation Price Accumulated Price 1 1 0 0 1 1 1 1 2 0 1 0 1 2 1 3 0 1 1 2 4 1 4 1 0 0 1 5 1 5 1 0 1 2 7 1 6 1 1 0 2 9 1 7 1 1 1 3 12 Example 2: Input:   k = 7, x = 2 Output:   9 Explanation: As shown in the table below,  9  is the greatest cheap number. x num Binary Representation Price Accumulated Price 2 1 0 0 0 1 0 0 2 2 0 0 1 0 1 1 2 3 0 0 1 1 1 2 2 4 0 1 0 0 0 2 2 5 0 1 0 1 0 2 2 6 0 1 1 0 1 3 2 7 0 1 1 1 1 4 2 8 1 0 0 0 1 5 2 9 1 0 0 1 1 6 2 10 1 0 1 0 2 8   Constraints: 1 <= k <= 10 15 1 <= x <= 8","['Binary Search', 'Dynamic Programming', 'Bit Manipulation']",Média,Binary Search,False
461,hamming-distance,https://leetcode.com/problems/hamming-distance/,Hamming Distance,"The  Hamming distance  between two integers is the number of positions at which the corresponding bits are different. Given two integers  x  and  y , return  the  Hamming distance  between them .   Example 1: Input:  x = 1, y = 4 Output:  2 Explanation: 1   (0 0 0 1) 4   (0 1 0 0)        ↑   ↑ The above arrows point to positions where the corresponding bits are different. Example 2: Input:  x = 3, y = 1 Output:  1   Constraints: 0 <= x, y <= 2 31  - 1   Note:  This question is the same as   2220: Minimum Bit Flips to Convert Number.",['Bit Manipulation'],Fácil,Bit Manipulation,False
476,number-complement,https://leetcode.com/problems/number-complement/,Number Complement,"The  complement  of an integer is the integer you get when you flip all the  0 's to  1 's and all the  1 's to  0 's in its binary representation. For example, The integer  5  is  ""101""  in binary and its  complement  is  ""010""  which is the integer  2 . Given an integer  num , return  its complement .   Example 1: Input:  num = 5 Output:  2 Explanation:  The binary representation of 5 is 101 (no leading zero bits), and its complement is 010. So you need to output 2. Example 2: Input:  num = 1 Output:  0 Explanation:  The binary representation of 1 is 1 (no leading zero bits), and its complement is 0. So you need to output 0.   Constraints: 1 <= num < 2 31   Note:  This question is the same as 1009:  https://leetcode.com/problems/complement-of-base-10-integer/",['Bit Manipulation'],Fácil,Bit Manipulation,False
693,binary-number-with-alternating-bits,https://leetcode.com/problems/binary-number-with-alternating-bits/,Binary Number with Alternating Bits,"Given a positive integer, check whether it has alternating bits: namely, if two adjacent bits will always have different values.   Example 1: Input:  n = 5 Output:  true Explanation:  The binary representation of 5 is: 101 Example 2: Input:  n = 7 Output:  false Explanation:  The binary representation of 7 is: 111. Example 3: Input:  n = 11 Output:  false Explanation:  The binary representation of 11 is: 1011.   Constraints: 1 <= n <= 2 31  - 1",['Bit Manipulation'],Fácil,Bit Manipulation,False
868,binary-gap,https://leetcode.com/problems/binary-gap/,Binary Gap,"Given a positive integer  n , find and return  the  longest distance  between any two  adjacent   1 's in the binary representation of  n . If there are no two adjacent  1 's, return  0 . Two  1 's are  adjacent  if there are only  0 's separating them (possibly no  0 's). The  distance  between two  1 's is the absolute difference between their bit positions. For example, the two  1 's in  ""1001""  have a distance of 3.   Example 1: Input:  n = 22 Output:  2 Explanation:  22 in binary is ""10110"". The first adjacent pair of 1's is "" 1 0 1 10"" with a distance of 2. The second adjacent pair of 1's is ""10 11 0"" with a distance of 1. The answer is the largest of these two distances, which is 2. Note that "" 1 01 1 0"" is not a valid pair since there is a 1 separating the two 1's underlined. Example 2: Input:  n = 8 Output:  0 Explanation:  8 in binary is ""1000"". There are not any adjacent pairs of 1's in the binary representation of 8, so we return 0. Example 3: Input:  n = 5 Output:  2 Explanation:  5 in binary is ""101"".   Constraints: 1 <= n <= 10 9",['Bit Manipulation'],Fácil,Bit Manipulation,False
1009,complement-of-base-10-integer,https://leetcode.com/problems/complement-of-base-10-integer/,Complement of Base 10 Integer,"The  complement  of an integer is the integer you get when you flip all the  0 's to  1 's and all the  1 's to  0 's in its binary representation. For example, The integer  5  is  ""101""  in binary and its  complement  is  ""010""  which is the integer  2 . Given an integer  n , return  its complement .   Example 1: Input:  n = 5 Output:  2 Explanation:  5 is ""101"" in binary, with complement ""010"" in binary, which is 2 in base-10. Example 2: Input:  n = 7 Output:  0 Explanation:  7 is ""111"" in binary, with complement ""000"" in binary, which is 0 in base-10. Example 3: Input:  n = 10 Output:  5 Explanation:  10 is ""1010"" in binary, with complement ""0101"" in binary, which is 5 in base-10.   Constraints: 0 <= n < 10 9   Note:  This question is the same as 476:  https://leetcode.com/problems/number-complement/",['Bit Manipulation'],Fácil,Bit Manipulation,False
2220,minimum-bit-flips-to-convert-number,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,Minimum Bit Flips to Convert Number,"A  bit flip  of a number  x  is choosing a bit in the binary representation of  x  and  flipping  it from either  0  to  1  or  1  to  0 . For example, for  x = 7 , the binary representation is  111  and we may choose any bit (including any leading zeros not shown) and flip it. We can flip the first bit from the right to get  110 , flip the second bit from the right to get  101 , flip the fifth bit from the right (a leading zero) to get  10111 , etc. Given two integers  start  and  goal , return  the  minimum  number of  bit flips  to convert  start  to  goal .   Example 1: Input:  start = 10, goal = 7 Output:  3 Explanation:  The binary representation of 10 and 7 are 1010 and 0111 respectively. We can convert 10 to 7 in 3 steps: - Flip the first bit from the right: 101 0  -> 101 1 . - Flip the third bit from the right: 1 0 11 -> 1 1 11. - Flip the fourth bit from the right:  1 111 ->  0 111. It can be shown we cannot convert 10 to 7 in less than 3 steps. Hence, we return 3. Example 2: Input:  start = 3, goal = 4 Output:  3 Explanation:  The binary representation of 3 and 4 are 011 and 100 respectively. We can convert 3 to 4 in 3 steps: - Flip the first bit from the right: 01 1  -> 01 0 . - Flip the second bit from the right: 0 1 0 -> 0 0 0. - Flip the third bit from the right:  0 00 ->  1 00. It can be shown we cannot convert 3 to 4 in less than 3 steps. Hence, we return 3.   Constraints: 0 <= start, goal <= 10 9   Note:  This question is the same as  461: Hamming Distance.",['Bit Manipulation'],Fácil,Bit Manipulation,False
2595,number-of-even-and-odd-bits,https://leetcode.com/problems/number-of-even-and-odd-bits/,Number of Even and Odd Bits,"You are given a  positive  integer  n . Let  even  denote the number of even indices in the binary representation of  n  with value 1. Let  odd  denote the number of odd indices in the binary representation of  n  with value 1. Note that bits are indexed from  right to left  in the binary representation of a number. Return the array  [even, odd] .   Example 1: Input:   n = 50 Output:   [1,2] Explanation: The binary representation of 50 is  110010 . It contains 1 on indices 1, 4, and 5. Example 2: Input:   n = 2 Output:   [0,1] Explanation: The binary representation of 2 is  10 . It contains 1 only on index 1.   Constraints: 1 <= n <= 1000",['Bit Manipulation'],Fácil,Bit Manipulation,False
3226,number-of-bit-changes-to-make-two-integers-equal,https://leetcode.com/problems/number-of-bit-changes-to-make-two-integers-equal/,Number of Bit Changes to Make Two Integers Equal,"You are given two positive integers  n  and  k . You can choose  any  bit in the  binary representation  of  n  that is equal to 1 and change it to 0. Return the  number of changes  needed to make  n  equal to  k . If it is impossible, return -1.   Example 1: Input:   n = 13, k = 4 Output:   2 Explanation: Initially, the binary representations of  n  and  k  are  n = (1101) 2  and  k = (0100) 2 . We can change the first and fourth bits of  n . The resulting integer is  n = ( 0 10 0 ) 2  = k . Example 2: Input:   n = 21, k = 21 Output:   0 Explanation: n  and  k  are already equal, so no changes are needed. Example 3: Input:   n = 14, k = 13 Output:   -1 Explanation: It is not possible to make  n  equal to  k .   Constraints: 1 <= n, k <= 10 6",['Bit Manipulation'],Fácil,Bit Manipulation,False
201,bitwise-and-of-numbers-range,https://leetcode.com/problems/bitwise-and-of-numbers-range/,Bitwise AND of Numbers Range,"Given two integers  left  and  right  that represent the range  [left, right] , return  the bitwise AND of all numbers in this range, inclusive .   Example 1: Input:  left = 5, right = 7 Output:  4 Example 2: Input:  left = 0, right = 0 Output:  0 Example 3: Input:  left = 1, right = 2147483647 Output:  0   Constraints: 0 <= left <= right <= 2 31  - 1",['Bit Manipulation'],Média,Bit Manipulation,False
2749,minimum-operations-to-make-the-integer-zero,https://leetcode.com/problems/minimum-operations-to-make-the-integer-zero/,Minimum Operations to Make the Integer Zero,"You are given two integers  num1  and  num2 . In one operation, you can choose integer  i  in the range  [0, 60]  and subtract  2 i  + num2  from  num1 . Return  the integer denoting the  minimum  number of operations needed to make   num1   equal to   0 . If it is impossible to make  num1  equal to  0 , return  -1 .   Example 1: Input:  num1 = 3, num2 = -2 Output:  3 Explanation:  We can make 3 equal to 0 with the following operations: - We choose i = 2 and subtract 2 2  + (-2) from 3, 3 - (4 + (-2)) = 1. - We choose i = 2 and subtract 2 2  + (-2) from 1, 1 - (4 + (-2)) = -1. - We choose i = 0 and subtract 2 0  + (-2) from -1, (-1) - (1 + (-2)) = 0. It can be proven, that 3 is the minimum number of operations that we need to perform. Example 2: Input:  num1 = 5, num2 = 7 Output:  -1 Explanation:  It can be proven, that it is impossible to make 5 equal to 0 with the given operation.   Constraints: 1 <= num1 <= 10 9 -10 9  <= num2 <= 10 9","['Bit Manipulation', 'Brainteaser', 'Enumeration']",Média,Bit Manipulation,False
3133,minimum-array-end,https://leetcode.com/problems/minimum-array-end/,Minimum Array End,"You are given two integers  n  and  x . You have to construct an array of  positive  integers  nums  of size  n  where for every  0 <= i < n - 1 ,  nums[i + 1]  is  greater than   nums[i] , and the result of the bitwise  AND  operation between all elements of  nums  is  x . Return the  minimum  possible value of  nums[n - 1] .   Example 1: Input:   n = 3, x = 4 Output:   6 Explanation: nums  can be  [4,5,6]  and its last element is 6. Example 2: Input:   n = 2, x = 7 Output:   15 Explanation: nums  can be  [7,15]  and its last element is 15.   Constraints: 1 <= n, x <= 10 8",['Bit Manipulation'],Média,Bit Manipulation,False
